"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
0.840000	0.069074	-0.500784	-0.496144	0.932495	0.918957
0.850000	0.064112	-0.491527	-0.486955	0.918942	0.905581
0.860000	0.059243	-0.482405	-0.477899	0.905567	0.892381
0.870000	0.054464	-0.473415	-0.468975	0.892367	0.879354
0.880000	0.049774	-0.464557	-0.460182	0.879340	0.866498
0.890000	0.045172	-0.455828	-0.451517	0.866484	0.853810
0.900000	0.040657	-0.447227	-0.442979	0.853796	0.841289
0.910000	0.036227	-0.438751	-0.434566	0.841276	0.828933
0.920000	0.031882	-0.430401	-0.426276	0.828920	0.816740
0.930000	0.027619	-0.422172	-0.418109	0.816726	0.804707
0.940000	0.023438	-0.414066	-0.410062	0.804693	0.792832
0.950000	0.019337	-0.406078	-0.402134	0.792819	0.781114
0.960000	0.015316	-0.398209	-0.394322	0.781101	0.769551
0.970000	0.011372	-0.390456	-0.386627	0.769539	0.758141
0.980000	0.007506	-0.382817	-0.379046	0.758128	0.746882
0.990000	0.003716	-0.375292	-0.371577	0.746869	0.735771
1.000000	-0.000000	-0.367879	-0.364219	0.735759	0.724808
1.010000	-0.003642	-0.360577	-0.356971	0.724796	0.713990
1.020000	-0.007212	-0.353383	-0.349831	0.713978	0.703316
1.030000	-0.010710	-0.346297	-0.342798	0.703304	0.692783
1.040000	-0.014138	-0.339316	-0.335870	0.692771	0.682390
1.050000	-0.017497	-0.332441	-0.329046	0.682379	0.672136
1.060000	-0.020787	-0.325668	-0.322325	0.672124	0.662018
1.070000	-0.024011	-0.318998	-0.315705	0.662006	0.652035
1.080000	-0.027168	-0.312428	-0.309184	0.652023	0.642184
1.090000	-0.030259	-0.305957	-0.302762	0.642174	0.632466
1.100000	-0.033287	-0.299584	-0.296438	0.632455	0.622877
1.110000	-0.036251	-0.293307	-0.290209	0.622866	0.613417
1.120000	-0.039154	-0.287126	-0.284075	0.613406	0.604083
1.130000	-0.041994	-0.281039	-0.278034	0.604072	0.594874
1.140000	-0.044775	-0.275044	-0.272085	0.594863	0.585788
1.150000	-0.047496	-0.269141	-0.266227	0.585778	0.576825
1.160000	-0.050158	-0.263328	-0.260459	0.576815	0.567981
1.170000	-0.052762	-0.257605	-0.254779	0.567972	0.559257
1.180000	-0.055310	-0.251969	-0.249187	0.559247	0.550650
1.190000	-0.057802	-0.246419	-0.243680	0.550640	0.542159
1.200000	-0.060239	-0.240955	-0.238259	0.542150	0.533783
1.210000	-0.062621	-0.235576	-0.232921	0.533773	0.525519
1.220000	-0.064951	-0.230280	-0.227666	0.525510	0.517367
1.230000	-0.067227	-0.225065	-0.222492	0.517358	0.509325
1.240000	-0.069452	-0.219932	-0.217399	0.509316	0.501392
1.250000	-0.071626	-0.214879	-0.212385	0.501383	0.493567
1.260000	-0.073750	-0.209904	-0.207449	0.493558	0.485847
1.270000	-0.075825	-0.205007	-0.202591	0.485839	0.478233
1.280000	-0.077850	-0.200187	-0.197808	0.478224	0.470722
1.290000	-0.079829	-0.195442	-0.193101	0.470713	0.463312
1.300000	-0.081760	-0.190772	-0.188468	0.463304	0.456004
1.310000	-0.083644	-0.186176	-0.183908	0.455996	0.448795
1.320000	-0.085483	-0.181652	-0.179420	0.448787	0.441685
1.330000	-0.087277	-0.177200	-0.175003	0.441677	0.434672
1.340000	-0.089028	-0.172818	-0.170656	0.434664	0.427754
1.350000	-0.090734	-0.168506	-0.166379	0.427746	0.420931
1.360000	-0.092398	-0.164263	-0.162170	0.420924	0.414202
1.370000	-0.094020	-0.160087	-0.158028	0.414194	0.407565
1.380000	-0.095600	-0.155979	-0.153952	0.407557	0.401019
1.390000	-0.097139	-0.151936	-0.149942	0.401011	0.394563
1.400000	-0.098639	-0.147958	-0.145996	0.394555	0.388195
1.410000	-0.100099	-0.144045	-0.142114	0.388188	0.381915
